"2017-06-04 14:00:00";"Запуск в режиме рассылки"
"2017-06-04 15:00:00";"Запрос на запуск хрона"
"2017-06-04 15:00:01";"Запуск в режиме рассылки"
"2017-06-04 16:00:01";"Запрос на запуск хрона"
"2017-06-04 16:00:01";"Запуск в режиме рассылки"
"2017-06-04 17:00:00";"Запрос на запуск хрона"
"2017-06-04 17:00:00";"Запуск в режиме рассылки"
"2017-06-04 18:00:00";"Запрос на запуск хрона"
"2017-06-04 18:00:00";"Запуск в режиме рассылки"
"2017-06-04 19:00:01";"Запрос на запуск хрона"
"2017-06-04 19:00:01";"Запуск в режиме рассылки"
"2017-06-04 20:00:00";"Запрос на запуск хрона"
"2017-06-04 20:00:00";"Запуск в режиме рассылки"
"2017-06-15 17:00:01";"Запрос на запуск хрона"
"2017-06-15 17:00:01";"Запуск в режиме обслуживания"
"2017-06-15 17:00:02";"Запуск в режиме рассылки"
"2017-06-16 07:00:02";"Запрос на запуск хрона"
"2017-06-16 07:00:02";"Запуск в режиме рассылки"
"2017-06-16 08:00:01";"Запрос на запуск хрона"
"2017-06-16 08:00:01";"Запуск в режиме обслуживания"
"2017-06-16 08:00:01";"Запуск в режиме рассылки"
"2017-06-16 09:00:00";"Запрос на запуск хрона"
"2017-06-16 09:00:00";"Запуск в режиме рассылки"
"2017-06-16 10:00:00";"Запрос на запуск хрона"
"2017-06-16 10:00:00";"Запуск в режиме рассылки"
"2017-06-16 11:00:00";"Запрос на запуск хрона"
"2017-06-16 11:00:00";"Запуск в режиме рассылки"
"2017-06-16 12:00:01";"Запрос на запуск хрона"
"2017-06-16 12:00:01";"Запуск в режиме рассылки"
"2017-06-16 13:00:11";"Запрос на запуск хрона"
"2017-06-16 13:00:11";"Запуск в режиме рассылки"
"2017-06-16 14:00:01";"Запрос на запуск хрона"
"2017-06-16 14:00:01";"Запуск в режиме рассылки"
"2017-06-16 15:00:00";"Запрос на запуск хрона"
"2017-06-16 15:00:00";"Запуск в режиме рассылки"
